  No    Ref    V       B-V     U-B
 0437   314  15.021   0.505   0.264
 0438   271  14.653   0.938   0.514
 0438   314  14.642   0.978   0.383
 0439   271  15.140   1.358   1.030
 0440   271  12.478   1.110   0.719
 0440   314  12.499   1.200   0.560
 0441   271  15.152   0.532   0.372
 0441   314  15.141   0.537   0.299
 0442   271  15.824   0.740   0.539
 0442   314  15.795   0.742   0.418
 0443   271  15.530   0.792   0.304
 0443   314  15.526   0.815   0.201
 0444   271  13.329   0.448   0.115
 0444   314  13.312   0.403   0.037
 0445   271  12.713   0.402  -0.033
 0445   314  12.691   0.377  -0.164
 0446   271  12.979   0.406   0.040
 0446   314  12.979   0.329  -0.009
 0447   271  14.663   0.939   0.604
 0447   314  14.711   0.972   0.515
 0448   271  13.130   0.769   0.564
 0448   314  13.128   0.795   0.437
 0449   271  14.520   0.792   0.488
 0449   314  14.469   0.835   0.320
 0450   271  15.335   0.680   0.485
 0450   314  15.306   0.666   0.418
 0451   271  13.932   0.467   0.160
 0451   314  13.921   0.459   0.031
 0452   271  12.886   0.587   0.213
 0452   314  12.941   0.541   0.176
 0453   271  14.838   0.458   0.305
 0453   314  14.833   0.483   0.231
 0454   271  15.857   0.760   0.438
 0454   314  15.835   0.742   0.388
 0455   271  13.120   0.415   0.010
 0455   314  13.119   0.392  -0.155
 0456   271  14.955   1.283   1.074
 0456   314  14.967   1.372   1.023
 0457   271  15.806   0.700   0.421
 0457   314  15.824   0.713   0.319
 0458   271  13.946   0.400   0.114
 0458   314  13.961   0.402   0.015
 0459   271  15.602   0.984   0.484
 0459   314  15.566   1.029   0.329
 0460   271  14.727   1.287   0.949
 0460   314  14.716   1.333   0.911
 0461   271  15.450   0.514   0.290
 0461   314  15.449   0.501   0.208
 0462   271  14.372   0.474   0.197
 0462   314  14.381   0.433   0.092
 0463   271  13.454   0.482   0.075
 0463   314  13.450   0.451  -0.099
 0464   271  14.565   0.557   0.321
 0464   314  14.559   0.544   0.244
 0465   271  15.807   0.591   0.427
 0465   314  15.800   0.576   0.367
 0466   271  15.608   0.678   0.426
 0466   314  15.592   0.635   0.394
 0467   271  14.501   0.575   0.359
 0467   314  14.461   0.559   0.272
 0468   271  13.721   1.270   0.937
 0469   271  14.071   0.763   0.359
 0469   314  14.045   0.807   0.212
 0470   314  13.727   0.891   0.319
 0471   314  15.372   0.898   0.361
 0472   314  13.390   0.417  -0.108
 0473   271  16.143   0.490   0.369
 0473   314  16.117   0.490   0.331
 0474   271  15.565   0.859   0.465
 0474   314  15.553   0.894   0.314
 0475   271  11.410   0.314  -0.304
 0475   314  11.400   0.274  -0.357
 0476   271  14.206   0.429   0.213
 0476   314  14.221   0.412   0.175
 0477   271  14.262   1.280   1.013
 0478   271  15.503   0.983   0.665
 0478   314  15.482   1.039   0.473
 0479   271  15.254   0.577   0.444
 0479   314  15.239   0.590   0.349
 0480   314  14.940   0.547   0.239
 0481   271  15.344   0.687   0.427
 0481   314  15.326   0.741   0.290
 0482   271  14.260   0.799   0.295
 0482   314  14.262   0.813   0.193
 0483   271  15.048   0.795   0.247
 0483   314  15.071   0.819   0.159
 0484   271  11.900   0.452   0.300
 0484   314  11.922   0.419   0.280
 0486   271  15.157   0.604   0.532
 0486   314  15.139   0.625   0.371
 0487   314  11.201   0.236  -0.488
 0488   314  15.577   0.609   0.327
 0489   271  14.472   0.479   0.325
 0489   314  14.458   0.479   0.182
 0490   314  13.393   0.479  -0.184
